dst_bytes,logged_in,service,dst_host_count,protocol_type,dst_host_srv_diff_host_rate,dst_host_same_src_port_rate,src_bytes,srv_count,count,srv_diff_host_rate,dst_host_serror_rate,serror_rate,srv_serror_rate,dst_host_srv_serror_rate,flag,duration,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,label
920,1,22,255,1,0.0,0.0,198,29,27,0.1,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
6614,1,22,1,1,0.05,1.0,342,1,1,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
330,1,50,147,1,0.0,0.01,1258,1,1,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.02,0
9248,1,22,255,1,0.0,0.0,271,27,4,0.07,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
336,1,50,17,1,0.02,0.06,1070,4,1,1.0,0.0,0.0,0.0,0.0,9,1,1.0,0.0,0.0,0
328,1,50,243,1,0.02,0.0,1050,2,1,1.0,0.02,0.0,0.0,0.0,9,1,1.0,0.0,0.06,0
458,1,22,255,1,0.0,0.0,217,8,8,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
247,1,22,27,1,0.01,0.04,285,19,4,0.16,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
573,1,22,255,1,0.0,0.0,203,9,9,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
1395,1,22,28,1,0.03,0.04,210,2,2,0.0,0.04,0.0,0.0,0.01,9,0,1.0,0.0,0.0,0
438,1,22,255,1,0.0,0.0,307,38,19,0.18,0.0,0.0,0.03,0.0,9,0,1.0,0.0,0.0,0
4201,1,22,5,1,0.02,0.2,309,5,5,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
1262,1,22,188,1,0.01,0.01,220,2,2,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
105,0,40,255,2,0.0,1.0,146,1,1,0.0,0.0,0.0,0.0,0.0,9,2630,1.0,0.0,0.84,0
0,0,11,25,2,0.01,1.0,36,13,12,0.15,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
2582,1,22,16,1,0.02,0.06,293,16,16,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
105,0,40,255,2,0.0,1.0,146,1,1,0.0,0.0,0.0,0.0,0.0,9,4564,1.0,0.0,0.86,0
3044,1,22,26,1,0.03,0.04,205,18,17,0.11,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.0,0
284,1,22,255,1,0.0,0.0,270,11,11,0.0,0.0,0.0,0.0,0.0,9,0,1.0,0.0,0.01,0
